cabang,nobukti,det_id,produk_id,produk_kode_api,produk_nama_api,produk_kode_db,produk_nama_db,afkir,qty_beli,qty_diterima,subtotal_rp,subtotal_net_rp,status,catatan
5,KRT/PB/2604-0109,11886,337,NP140,PILOX NIPPON,NP140,PILOX NIPPON,,48.0,48.0,1273248.0,1273248.0,OK,
5,KRT/PB/2604-0110,11887,5221,NP130,KOMILEX READY MIX 4.5KG,NP130,KOMILEX READY MIX 4.5KG,,28.0,28.0,1999396.0,1999396.0,OK,
5,KRT/PB/2604-0111,11888,5221,NP130,KOMILEX READY MIX 4.5KG,NP130,KOMILEX READY MIX 4.5KG,,8.0,8.0,576936.0,576936.0,OK,
5,KRT/PB/2604-0111,11889,5221,NP130,KOMILEX READY MIX 4.5KG,NP130,KOMILEX READY MIX 4.5KG,,4.0,4.0,410084.0,410084.0,OK,
5,KRT/PB/2604-0112,11890,260,NP001,NIPPE 2000 1L,NP001,NIPPE 2000 1L,,24.0,24.0,2038128.0,2038128.0,OK,
5,KRT/PB/2604-0112,11891,10778,NP275,NIPPE 2000 0.2L,NP275,NIPPE 2000 0.2L,,12.0,12.0,264804.0,264804.0,OK,
5,KRT/PB/2604-0113,11892,9920,NP243,PLATONE 8000 0.2L,NP243,PLATONE 8000 0.2L,,18.0,18.0,292050.0,292050.0,OK,
5,KRT/PB/2604-0115,11896,333,NP020,BODELAC 3.75L,NP020,BODELAC 3.75L,,8.0,8.0,1905040.0,1905040.0,OK,
5,KRT/PB/2604-0115,11897,5221,NP130,KOMILEX READY MIX 4.5KG,NP130,KOMILEX READY MIX 4.5KG,,14.0,14.0,999698.0,999698.0,OK,
5,KRT/PB/2604-0115,11898,5221,NP130,KOMILEX READY MIX 4.5KG,NP130,KOMILEX READY MIX 4.5KG,,12.0,12.0,1218120.0,1218120.0,OK,
5,KRT/PB/2604-0116,11899,260,NP001,NIPPE 2000 1L,NP001,NIPPE 2000 1L,,12.0,12.0,1019064.0,1019064.0,OK,
5,KRT/PB/2604-0116,11900,4157,NP114,PLATONE 8000 0.9L,NP114,PLATONE 8000 0.9L,,24.0,24.0,1480488.0,1480488.0,OK,
5,KRT/PB/2604-0117,11901,4618,NP050,NIPPON SPOT LESS PLUS PASTEL BASE 0.846L,NP050,NIPPON SPOT LESS PLUS PASTEL BASE 0.846L,,12.0,12.0,1402752.0,1402752.0,OK,
